縣市別,鄉鎮市區別,診所名稱,診所地址,診所電話
花蓮縣,花蓮市,中正診所,花蓮縣花蓮市中正路172號,03-8316655
新北市,中和區,中和重慶耳鼻喉科診所,新北市中和區中和路127號1、2樓,02-22426600
彰化縣,大村鄉,五行診所,彰化縣大村鄉村山腳路2-27號,04-8527603
新北市,五股區,五股水碓診所,新北市五股區自強路36號1樓,02-22921516
高雄市,仁武區,仁雄診所,高雄市仁武區仁雄路15-1號,07-3741298
基隆市,仁愛區,仁愛診所,基隆市仁愛區孝三路80號,02-24223255
新北市,三重區,介壽耳鼻喉科診所,新北市三重區正義北路255號,02-29810089
桃園市,八德區,介壽診所,桃園市八德區介壽路一段865號,03-3677787
新北市,中和區,友善宜安診所,新北市中和區保健路73巷7號,02-29438533
臺南市,玉井區,双美診所,臺南市玉井區太子街39巷8號,06-5746996
新北市,三重區,天亮耳鼻喉科,新北市三重區中正北路314號,02-89813431
彰化縣,花壇鄉,天祐診所,彰化縣花壇鄉花壇街112號1樓,04-7883678
雲林縣,虎尾鎮,太安診所,雲林縣虎尾鎮公安路178-18號1樓,05-6326650
高雄市,小港區,孔鳳診所,高雄市小港區孔鳳路571號,07-7910311
臺東縣,臺東市,尤憲明內科小兒科診所,臺東縣臺東市中華路一段396號,089-323306
臺北市,大安區,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,02-23690211
桃園市,平鎮區,文化診所,桃園市平鎮區文化街92號1-2樓,03-4951689
臺北市,北投區,文遠診所,臺北市北投區石牌路二段346號1、2樓,02-28739991
高雄市,鳳山區,文衡診所,高雄市鳳山區文衡路344號,07-7768185
桃園市,桃園區,日出親子診所,桃園市桃園區中山路824號1樓、826號1樓,03-3787876
新北市,淡水區,水碓瑞安診所,新北市淡水區北新路182巷61號,02-26203669
新竹縣,竹東鎮,王尹弘耳鼻喉科診所,新竹縣竹東鎮長春路三段5號,03-5941175
臺北市,文山區,王令時內科診所,臺北市文山區興隆路二段200號,02-29326912
基隆市,仁愛區,王孟俊診所,基隆市仁愛區南榮路143號,02-24293128
新北市,中和區,王俊傑診所,新北市中和區中安街8號,02-29293636
臺北市,松山區,王俊彰耳鼻喉科診所,臺北市松山區民生東路五段17號,02-27665698
高雄市,苓雅區,王勇智耳鼻喉科診所,高雄市苓雅區四維二路247號,07-7253460
臺南市,北區,王界三小兒科診所,臺南市北區文賢路1068號,06-3583770
臺中市,南屯區,主悅診所,臺中市南屯區干城街269號,04-22540711
新北市,三峽區,北大小兒科診所,新北市三峽區大學路87號2樓,02-26718080
嘉義縣,中埔鄉,台大佳醫診所,嘉義縣中埔鄉金蘭村頂山門34-51號,05-2399199
臺北市,北投區,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,02-28210501
雲林縣,麥寮鄉,台全診所,雲林縣麥寮鄉新興路16號,05-6930099
新竹市,北區,台安耳鼻喉科診所,新竹市北區北大路466號,03-5246069
高雄市,鳳山區,台安診所,高雄市鳳山區雙慈街26號,07-7410268
臺中市,西屯區,平安診所,臺中市西屯區大墩路917-1號,04-23277206
南投縣,南投市,幼安小兒科診所,南投縣南投市民族路243號,049-2206706
新北市,樹林區,幼安聯合診所,新北市樹林區鎮前街26號,02-26817700
新北市,深坑區,幼恩診所,新北市深坑區北深路三段173號,02-26625951
新北市,蘆洲區,弘一診所,新北市蘆洲區重陽街82號,02-82860000
新北市,汐止區,弘人小兒科診所,新北市汐止區福德二路152號,02-26932439
新北市,泰山區,弘森診所,新北市泰山區明志路一段257號,02-29090568
臺中市,太平區,弘鑫耳鼻喉科診所,臺中市太平區樹孝路202號,04-23933595
新北市,蘆洲區,本一診所,新北市蘆洲區長榮路43-1號,02-22836622
新北市,三重區,正興診所,新北市三重區正義北路113號,02-29861235
臺南市,六甲區,民生診所,臺南市六甲區六甲里中正路531號,06-6986015
新北市,蘆洲區,民族診所,新北市蘆洲區民族路53號,02-82857866
新北市,泰山區,永安診所,新北市泰山區仁愛路112-2號,02-85318184
新北市,泰山區,永旭診所,新北市泰山區仁愛路88號1樓,02-22979722
臺北市,南港區,永育診所,臺北市南港區福德街320之2號,02-27850700
臺北市,中山區,永育樂群診所,臺北市中山區樂群二路210之2號1樓,02-85012268
桃園市,龜山區,永樂耳鼻喉科診所,桃園市龜山區萬壽路1段107號1樓、109號1樓,02-82000580
屏東縣,鹽埔鄉,永興診所,屏東縣鹽埔鄉振興村中正路54號,08-7021343
臺南市,六甲區,甲和診所,臺南市六甲區六甲里建國街74號,06-6991393
臺南市,安平區,石門診所,臺南市安平區安平路21號,06-2242666
金門縣,金城鎮,禾心診所,金門縣金城鎮北門里民生路9-7號,082-322180
高雄市,苓雅區,立佳診所,高雄市苓雅區輔仁路149號,07-7710966
花蓮縣,吉安鄉,光鹽診所,花蓮縣吉安鄉慶豐村中山路三段281號,03-8534305
桃園市,觀音區,全心診所,桃園市觀音區大觀路二段182號1樓,03-4834783
基隆市,中正區,合成診所,基隆市中正區祥豐街205號,02-24632532
新北市,三重區,吉田診所,新北市三重區中正北路174-7號,02-29845093
宜蘭縣,五結鄉,吉祥診所,宜蘭縣五結鄉五結中路二段23-1號,03-9604853
桃園市,龍潭區,同安親子診所,桃園市龍潭區中正路284號,03-4707278
臺南市,新營區,同慶診所,臺南市新營區三民路37之6號,06-6323566
臺中市,梧棲區,安心診所,臺中市梧棲區港埠路一段1115號,04-26562059
新北市,新店區,安立診所,新北市新店區北宜路二段28號1樓,02-22177669
彰化縣,溪湖鎮,安泓耳鼻喉專科診所,彰化縣溪湖鎮彰水路三段492號,04-8828119
新北市,新店區,安倍診所,新北市新店區中正路132號,02-89119181
新北市,中和區,安祐診所,新北市中和區景新街401號1、2樓,02-86681070
臺南市,白河區,安聯診所,臺南市白河區富民路62號,06-6852555
臺中市,大里區,安聲耳鼻喉科診所,臺中市大里區大里路98-5號,04-24852301
南投縣,國姓鄉,安鴻診所,南投縣國姓鄉石門村中興路130號,049-2722778
南投縣,埔里鎮,安麗小兒科內科診所,南投縣埔里鎮中山路二段262號,049-2991030
基隆市,中正區,安瀾診所,基隆市中正區中正路197號,02-24623389
臺北市,內湖區,成安耳鼻喉科診所,臺北市內湖區成功路4段61巷10號,02-27935940
新北市,板橋區,成安診所,新北市板橋區重慶路308巷2號,02-29588182
新北市,五股區,成洲診所,新北市五股區凌雲路一段73號,02-22919463
新北市,永和區,旭恩小兒科診所,新北市永和區中山路一段172號,02-29220217
臺中市,西屯區,朱永成耳鼻喉科診所,臺中市西屯區西屯路三段159之55號,04-24618421
臺中市,北區,朱永昌內科小兒科診所,臺中市北區三民路三段210之10號,04-22253269
桃園市,龜山區,朱永恆診所,桃園市龜山區中興路353號,03-3508182
新竹縣,湖口鄉,朱先營診所,新竹縣湖口鄉中正路一段27號,03-5998325
高雄市,鼓山區,朱光興診所,高雄市鼓山區文信路256號1樓,07-5223188
新北市,三重區,江村聯合診所,新北市三重區重新路三段7號,02-29821515
澎湖縣,馬公市,江明儒耳鼻喉科診所,澎湖縣馬公市大勇街65號,06-9276768
花蓮縣,花蓮市,江洱診所,花蓮縣花蓮市建國路252號,03-8311717
花蓮縣,吉安鄉,自強耳鼻喉科診所,花蓮縣吉安鄉北昌村自強路568號,03-8561277
新北市,三重區,至安診所,新北市三重區重安街6號,02-29773835
新竹縣,竹北市,艾兒診所,新竹縣竹北市福興東路二段140號,03-6586699
新北市,三重區,艾樂堡診所,新北市三重區集賢路63之1號,02-82875777
基隆市,七堵區,西華診所,基隆市七堵區百三街29號,02-24512942
新北市,中和區,佑欣診所,新北市中和區興南路一段90號１樓,02-86685811
新北市,新店區,何耳鼻喉科診所,新北市新店區北新路3段138號1樓,02-29132269
新北市,樹林區,何廷裕小兒科診所,新北市樹林區日新街34號,02-26756789
臺中市,沙鹿區,何秋燕皮膚科診所,臺中市沙鹿區沙田路53之5號,04-26362982
桃園市,桃園區,何翊菁診所,桃園市桃園區中埔六街123號,03-3551192
彰化縣,彰化市,余偉傑小兒科診所,彰化縣彰化市曉陽路188號,04-7289786
臺中市,豐原區,吳志修耳鼻喉科診所,臺中市豐原區中山路347號,04-25120295
新北市,永和區,吳宗坡耳鼻喉科診所,新北市永和區得和路381號,02-86603386
高雄市,岡山區,吳宗慶診所,高雄市岡山區中山北路47號,07-6229828
苗栗縣,苗栗市,吳昆展小兒科診所,苗栗縣苗栗市中正路71號,037-265532
宜蘭縣,蘇澳鎮,吳昌達診所,宜蘭縣蘇澳鎮海邊路141號,03-9955976
臺中市,西區,吳東洀小兒科診所,臺中市西區美村路一段362號,04-23029672
新北市,板橋區,吳建明小兒科診所,新北市板橋區四川路二段245巷46號,02-89670670
新竹縣,新豐鄉,吳家仁小兒科診所,新竹縣新豐鄉新興路245號,03-5575302
彰化縣,彰化市,吳桂芬診所,彰化縣彰化市民生路161號1樓,04-7280638
高雄市,前鎮區,吳泰成耳鼻喉科診所,高雄市前鎮區林森三路150號,07-3361136
臺南市,安平區,吳國堯小兒科診所,臺南市安平區文平路438號,06-2933358
桃園市,桃園區,吳鎮宇親子耳鼻喉科診所,桃園市桃園區中山路824號1樓、826號1樓,03-3787876
屏東縣,東港鎮,宋耳鼻喉科診所,屏東縣東港鎮光復路二段88號,08-8353681
彰化縣,鹿港鎮,宏文小兒科診所,彰化縣鹿港鎮龍山里中山路3-1號,04-7779489
高雄市,楠梓區,宏生診所,高雄市楠梓區樂群街179巷2號,07-3619412
新北市,三重區,宏生診所,新北市三重區五華街72號,02-29819948
苗栗縣,竹南鎮,宏安診所,苗栗縣竹南鎮光復路265號,03-7466958
雲林縣,斗南鎮,宏佑診所,雲林縣斗南鎮文元街86號,05-5950456
彰化縣,花壇鄉,志元診所,彰化縣花壇鄉長沙村中正路118號,04-7878892
臺北市,萬華區,快樂兒童診所,臺北市萬華區寶興街121號,02-23328610
臺東縣,臺東市,李文正內科診所,臺東縣臺東市中正路295號,089-323920
臺北市,南港區,李文珍小兒科診所,臺北市南港區研究院路二段74號,02-26511871
臺中市,大里區,李文軒耳鼻喉科診所,臺中市大里區益民路二段271號,04-24872898
基隆市,仁愛區,李任堅小兒科診所,基隆市仁愛區孝一路86號,02-24269096
新北市,淡水區,李兆然家醫科診所,新北市淡水區學府路18號,02-26299833
臺南市,安南區,李宗勳耳鼻喉科診所,臺南市安南區海佃路一段282號,06-2502345
桃園市,桃園區,李柏鋒診所,桃園市桃園區中山路807號,03-2207480
基隆市,安樂區,李偉華耳鼻喉科診所,基隆市安樂區安樂路二段179號1樓,02-24348535
新北市,板橋區,李連成耳鼻喉科診所,新北市板橋區雙十路二段162號,02-22505752
臺南市,中西區,李朝泰小兒科診所,臺南市中西區成功路319號,06-2256618
宜蘭縣,宜蘭市,李碧峰小兒科診所,宜蘭市中山路三段29號,03-9356288
臺北市,大安區,杏保醫網信誠診所,臺北市大安區信義路四段197號1、2樓,02-27068208
臺東縣,太麻里鄉,杏歆診所,臺東縣太麻里鄉太麻里街253號,089-783018
高雄市,左營區,沈嘉充診所,高雄市左營區中華一路5號,07-5851778
新北市,淡水區,沐恩診所,新北市淡水區濱海路一段143號1樓,02-26299777
花蓮縣,秀林鄉,秀林鄉衛生所,花蓮縣秀林鄉秀林村12鄰秀林路88號,03-8612122
臺中市,北區,秀慧診所,臺中市北區忠太東路58-12號,04-22031830
臺東縣,臺東市,育生小兒科診所,臺東縣臺東市中山路244號,089-345304
新北市,汐止區,育和診所,新北市汐止區中正路31號,02-26486803
彰化縣,員林市,育英診所,彰化縣員林市育英路37-12號,04-8331458
臺北市,內湖區,育睿診所,臺北市內湖區內湖路一段217巷35號,02-26560801
苗栗縣,苑裡鎮,良宜診所,苗栗縣苑裡鎮建國路106號,037-860937
臺北市,松山區,車參薇小兒科診所,臺北市松山區八德路3段195號1樓,02-25770101
臺中市,南屯區,邢志宇耳鼻喉科診所,臺中市南屯區南屯路二段252號,04-24735806
花蓮縣,玉里鎮,里安診所,花蓮縣玉里鎮復興街28號,03-8883232
臺中市,西區,阮春閔小兒科診所,臺中市西區南屯路一段148號,04-23757456
臺南市,永康區,阮嵩翔耳鼻喉科診所,臺南市永康區大灣路930號,06-2728333
新北市,萬里區,享悅診所,新北市萬里區瑪鋉路34號,02-24928190
臺南市,新市區,佳安小兒科,臺南市新市區中正路331號,06-5995234
臺南市,佳里區,佳安診所,臺南市佳里區中山路188號,06-7237768
臺中市,潭子區,佳佑診所,臺中市潭子區勝利路319號,04-25336888
花蓮縣,花蓮市,佳佳診所,花蓮縣花蓮市中山路142之7號,03-8337437
高雄市,大寮區,佳和耳鼻喉科診所,高雄市大寮區鳳林三路516號,07-7821500
桃園市,蘆竹區,佳音小兒科診所,桃園市蘆竹區中正路359號,03-3127553
桃園市,中壢區,佳國耳鼻喉科診所,桃園市中壢區中北路47號1樓,03-4664735
臺中市,西區,佳慶診所,臺中市西區東興路三段272之1號,04-23208989
桃園市,龜山區,卓越耳鼻喉科診所,桃園市龜山區萬壽路1段107號1樓、109號1樓,02-82000580
臺南市,仁德區,協和家醫科診所,臺南市仁德區中正路三段79號,06-2701507
新北市,板橋區,周耳鼻喉科診所,新北市板橋區文化路2段5號1樓,02-22525158
花蓮縣,花蓮市,周耳鼻喉科診所,花蓮縣花蓮市中山路747號,03-8568801
澎湖縣,馬公市,周明河小兒科診所,澎湖縣馬公市陽明路33號,06-9264080
高雄市,三民區,和平醫療社團法人進興診所,高雄市三民區九如一路171號,07-3869559
屏東縣,鹽埔鄉,和生診所,屏東縣鹽埔鄉維新路72-2號,08-7938202
花蓮縣,吉安鄉,和田小兒科診所,花蓮縣吉安鄉建國路二段229號1樓,03-8576822
屏東縣,長治鄉,和合診所,屏東縣長治鄉長興路132號,08-7381258
新北市,板橋區,和安診所,新北市板橋區四維路313號,02-22578133
臺中市,北區,和康耳鼻喉科診所,臺中市北區健行路870-1號1樓,04-22035185
臺東縣,臺東市,和意診所,臺東縣臺東市四維路三段30號,089-220727
臺中市,西屯區,和賢耳鼻喉科診所,臺中市西屯區中清路二段1386巷23號,04-24261802
臺北市,中山區,固亷診所,臺北市中山區北安路613號,02-25323036
嘉義縣,太保市,定安診所,嘉義縣太保市南新里中山路一段311-5號,05-2371777
高雄市,大寮區,宜和內兒科診所,高雄市大寮區鳳林三路341號,07-7816825
嘉義縣,朴子市,尚群診所,嘉義縣朴子市海通路98之8號,05-3705678
宜蘭縣,礁溪鄉,岳成診所,宜蘭縣礁溪鄉中山路1段120號,03-9876586
臺中市,南屯區,忠勇診所,臺中市南屯區忠勇路67之3號1、2樓,04-23826625
新北市,樹林區,念生耳鼻喉科診所,新北市樹林區文化街45號1樓,02-26751099
新北市,鶯歌區,怡兒診所,新北市鶯歌區建國路173號,02-26707200
嘉義縣,新港鄉,昌模小兒科診所,嘉義縣新港鄉福德路20號,05-3740369
新北市,三重區,明安耳鼻喉科診所,新北市三重區正義北路54號,02-29862228
新北市,林口區,明揚診所,新北市林口區中山路192號,02-26035801
高雄市,小港區,明義診所,高雄市小港區孔鳳路542號,07-7916959
彰化縣,二林鎮,明穎耳鼻喉科診所,彰化縣二林鎮仁愛路676號,04-8969662
臺北市,信義區,松仁耳鼻喉科診所,臺北市信義區松仁路231號,02-87808580
新北市,林口區,林口微笑親子耳鼻喉科診所,新北市林口區文化三路一段419號1樓、421號1樓,02-26000515
臺中市,豐原區,林大丕小兒科診所,臺中市豐原區三民路130號,04-25282345
臺南市,南區,林大傑耳鼻喉科診所,臺南市南區金華路二段171號,06-2915660
高雄市,苓雅區,林文樹小兒科內科診所,高雄市苓雅區武慶三路89號,07-7611286
新北市,板橋區,林弘揚耳鼻喉科,新北市板橋區陽明街295號,02-82513878
新北市,板橋區,林弘揚耳鼻喉科健康家庭醫學科聯合診所,新北市板橋區陽明街295號,02-82513878
臺北市,內湖區,林永正診所,臺北市內湖區康樂街130號,02-26315567
新北市,三重區,林永權耳鼻喉科診所,新北市三重區三陽路32號,02-29714526
臺中市,清水區,林玉彪診所,臺中市清水區光華路135號,04-26233880
新竹市,東區,林安復耳鼻喉科診所,新竹市東區中華路二段159號,03-5355890
宜蘭縣,宜蘭市,林耳鼻喉科診所,宜蘭縣宜蘭市中山路三段233號,03-9311234
臺中市,南屯區,林耳鼻喉科診所,臺中市南屯區東興路2段50號,04-24751525
嘉義市,東區,林育興耳鼻喉科診所,嘉義市東區吳鳳北路133號,05-2288568
臺中市,南區,林忠立診所,臺中市南區美村南路58號,04-22619948
基隆市,中正區,林承興診所,基隆市中正區北寧路319號,02-24697639
屏東縣,屏東市,林長興診所,屏東縣屏東市廣東路72號,08-7236266
桃園市,中壢區,林浩健診所,桃園市中壢區中央西路2段231-2號,03-4925866
臺中市,大雅區,林釗尚小兒科診所,臺中市大雅區大雅路151號,04-25600313
新北市,板橋區,林國本耳鼻喉科診所,新北市板橋區文聖街6號,02-22557445
新北市,淡水區,林得時婦產科診所,新北市淡水區中山路14號,02-26220695
新北市,新莊區,林復森耳鼻喉科診所,新北市新莊區民安路220號,02-22011378
新竹市,北區,林敬堯親子診所,新竹市北區湳雅街120號,03-5350123
高雄市,鳳山區,林誓揚診所,高雄市鳳山區經武路18號,07-7482228
臺中市,西屯區,林鴻任耳鼻喉科診所,臺中市西屯區青海路一段116號,04-23111518
臺南市,永康區,林獻諒小兒科診所,臺南市永康區中華路347號,06-3134761
花蓮縣,光復鄉,花蓮縣光復鄉衛生所,花蓮縣光復鄉大馬村中學街158號,03-8701114
花蓮縣,富里鄉,花蓮縣富里鄉衛生所,花蓮縣富里鄉中山路203號,03-8831029
花蓮縣,新城鄉,花蓮縣新城鄉衛生所,花蓮縣新城鄉北埔村北埔路160號,03-8266781
花蓮縣,鳳林鎮,花蓮縣鳳林鎮衛生所,花蓮縣鳳林鎮公正街8-1號,03-8761116
雲林縣,虎尾鎮,虎尾台全診所,雲林縣虎尾鎮林森路一段346號,05-6366111
新北市,新店區,邱昰凱小兒科診所,新北市新店區建國路226號1樓,02-29130360
桃園市,桃園區,邵柏源耳鼻喉科診所,桃園市桃園區中正路1141號1樓,03-3166611
新北市,鶯歌區,金鶯診所,新北市鶯歌區國慶街167號,02-26702559
屏東縣,鹽埔鄉,長生診所,屏東縣鹽埔鄉鹽中村勝利路45之9號,08-7935915
桃園市,中壢區,長安內科診所,桃園市中壢區中山東路二段536號1樓,03-4655665
高雄市,左營區,長安診所,高雄市左營區左營大路253號1樓,07-5821864
高雄市,楠梓區,長義診所,高雄市楠梓區惠民路46號,07-3640553
雲林縣,西螺鎮,長榮診所,雲林縣西螺鎮建興路148號,05-5876222
臺中市,東勢區,長頸鹿小兒科診所,臺中市東勢區豐勢路418號,04-25773481
臺南市,東區,侯世婷小兒科診所,臺南市東區崇善路511號,06-3369131
新北市,三重區,保順聯合診所,新北市三重區正義北路5號,02-29855630
彰化縣,彰化市,信成耳鼻喉科診所,彰化縣彰化市三民路304號,04-7235900
高雄市,苓雅區,信君耳鼻喉科診所,高雄市苓雅區武廟路196號,07-7168385
新北市,樹林區,信和耳鼻喉科診所,新北市樹林區博愛街178號1、2樓,02-26822100
新北市,樹林區,信和診所,新北市樹林區博愛街178號1、2樓,02-26822100
南投縣,水里鄉,信望愛診所,南投縣水里鄉民族路362號,049-2770000
臺北市,信義區,信義耳鼻喉科診所,臺北市信義區莊敬路391巷4號,02-23450288
花蓮縣,壽豐鄉,信德診所,花蓮縣壽豐鄉中山路三段76號,03-8661197
臺北市,南港區,冠德耳鼻喉科診所,臺北市南港區研究院路一段17號,02-26513085
南投縣,仁愛鄉,南投縣仁愛鄉衛生所,南投縣仁愛鄉大同村五福巷17號,049-2802341
南投縣,名間鄉,南投縣名間鄉衛生所,南投縣名間鄉彰南路42號,049-2732135
南投縣,集集鎮,南投縣集集鎮衛生所,南投縣集集鎮民生路106號,049-2762015
桃園市,龜山區,南崁現代診所,桃園市龜山區南祥路40號,03-3218080
高雄市,前鎮區,南隆小兒科診所,高雄市前鎮區復興三路391號,07-3382967
新竹縣,竹北市,哈哈小兒科診所,新竹縣竹北市科大一路30號,03-6570590
新竹市,東區,城佑耳鼻喉科診所,新竹市東區建中路59號,03-5748329
新北市,土城區,城林小兒科診所,新北市土城區中央路二段312號,02-22706166
新北市,蘆洲區,建安診所,新北市蘆洲區長安街265號1樓,02-22826588
臺中市,太平區,建志耳鼻喉科診所,臺中市太平區中興路110號,04-22766899
高雄市,林園區,建芳診所,高雄市林園區東林東路28號,07-6467666
臺北市,大同區,建順診所,臺北市大同區甘州街51號,02-25573250
新北市,蘆洲區,建群診所,新北市蘆洲區中華街71號1樓,02-28487669
苗栗縣,後龍鎮,後龍診所,苗栗縣後龍鎮中山路123號,037-773088
新北市,新莊區,思賢診所,新北市新莊區自立街200號1樓,02-29923806
臺北市,大同區,施小兒科診所,臺北市大同區重慶北路三段28號,02-25941935
臺北市,內湖區,施耳鼻喉科診所,臺北市內湖區東湖路90號2樓,02-26331018
新北市,三峽區,星龍耳鼻喉科診所,新北市三峽區國際一街5號1樓,02-26711676
高雄市,苓雅區,柯武鎮診所,高雄市苓雅區福壽街193號,07-7131840
桃園市,桃園區,柯福順耳鼻喉科診所,桃園市桃園區中山路613號,03-2201122
高雄市,三民區,柳雱邁診所,高雄市三民區大順二路96號,07-3895640
新北市,三重區,洋基耳鼻喉科,新北市三重區正義北路288號,02-89810900
新北市,三重區,洪小兒科診所,新北市三重區三民街243號,02-29823852
臺北市,北投區,洪耳鼻喉科診所,臺北市北投區中央南路1段43號,02-28928769
屏東縣,恆春鎮,洪梓策親子診所,屏東縣恆春鎮環城北路181號,08-8880197
高雄市,小港區,洪清中兒科診所,高雄市小港區二苓路192號1樓,07-8063773
南投縣,草屯鎮,洪瑞成小兒科診所,南投縣草屯鎮中山街38號,049-2323151
高雄市,鼓山區,為好診所,高雄市鼓山區九如四路957號,07-5215489
新北市,三重區,皇嘉耳鼻喉科診所,新北市三重區五華街247號,02-28579666
臺南市,中西區,紀冠廷診所,臺南市中西區青年路119號,06-2263931
基隆市,七堵區,紀醫師診所,基隆市七堵區開元路83號,02-24551482
臺南市,將軍區,美地診所,臺南市將軍區苓仔寮里苓保81號,06-7946127
高雄市,前鎮區,美和診所,高雄市前鎮區翠亨北路577號,07-8123381
高雄市,前鎮區,美德聯合診所,高雄市前鎮區草衙二路385號,07-8156375
苗栗縣,三義鄉,苗栗縣三義鄉衛生所,苗栗縣三義鄉復興路45號,037-872014
苗栗縣,竹南鎮,苗栗縣竹南鎮衛生所,苗栗縣竹南鎮大營路209號,037-470152
苗栗縣,後龍鎮,苗栗縣後龍鎮衛生所,苗栗縣後龍鎮大庄里光華路375號,037-722008
苗栗縣,苗栗市,苗栗縣苗栗市衛生所,苗栗縣苗栗市建民街28號,037-277129
苗栗縣,泰安鄉,苗栗縣泰安鄉衛生所,苗栗縣泰安鄉清安村洗水坑二鄰72號,037-941054
苗栗縣,通霄鎮,苗栗縣通霄鎮衛生所,苗栗縣通霄鎮中正路16-2號,037-752048
苗栗縣,獅潭鄉,苗栗縣獅潭鄉衛生所,苗栗縣獅潭鄉新店村11鄰新店130之6號,037-931309
苗栗縣,頭屋鄉,苗栗縣頭屋鄉衛生所,苗栗縣頭屋鄉頭屋村13鄰中山街54號,037-253534
新北市,淡水區,英專耳鼻喉科皮膚科診所,新北市淡水區英專路96號,02-86317678
新竹市,東區,英慈耳鼻喉科診所,新竹市東區立功里光復路二段308號,03-5722846
臺南市,歸仁區,茂禾耳鼻喉科診所,臺南市歸仁區中山路一段519號1樓,06-3303232
雲林縣,西螺鎮,茂杉診所,雲林縣西螺鎮正興里福興路141號,05-5862213
高雄市,三民區,范雅修小兒科診所,高雄市三民區平等路163號,07-3876366
新北市,三重區,重新診所,新北市三重區重新路二段150號,02-29765868
新北市,板橋區,重慶耳鼻喉科診所,新北市板橋區和平路161巷26號,02-89517755
嘉義縣,朴子市,員祐耳鼻喉科診所,嘉義縣朴子市新榮路90號,05-3661590
高雄市,鼓山區,家安診所,高雄市鼓山區裕誠路1515號,07-5541515
臺中市,北區,家昌耳鼻喉科診所,臺中市北區陜西路62號1樓,04-22993888
新北市,新莊區,家貞診所,新北市新莊區福壽街67號,02-29942300
新北市,新莊區,家慈診所,新北市新莊區福壽街67號,02-29942300
新北市,新莊區,家福診所,新北市新莊區福壽街67號,02-29942300
彰化縣,和美鎮,家禮診所,彰化縣和美鎮仁美路186號,04-7551829
臺中市,北區,展弘耳鼻喉科診所,臺中市北區漢口路四段322號,04-22307388
臺南市,新化區,徐小兒科診所,臺南市新化區中山路193號,06-5901995
桃園市,龍潭區,徐耳鼻喉科診所,桃園市龍潭區北龍路251號,03-4899631
宜蘭縣,冬山鄉,徐診所,宜蘭縣冬山鄉照安路33巷32號,039-590923
臺南市,東區,徐慶鐘小兒科診所,臺南市東區長榮路二段306號,06-2369954
臺北市,中正區,悅心診所,臺北市中正區羅斯福路2段7之2號,02-23961008
高雄市,左營區,振亮診所,高雄市左營區左營大路156號,07-5879799
彰化縣,芳苑鄉,振源診所,彰化縣芳苑鄉民生村建成路44號,04-8933786
新北市,新莊區,晉安診所,新北市新莊區中正路700之24號,02-29061510
